trial_num,randomise_blocks,randomise_trials,display,cars_encoding_sentence,cars_test_question,cars_pic_a,cars_pic_b,cars_pic_c,cars_pic_d,cars_test_answer,cars_pretest,cook_encoding_sentence,cook_test_question,cook_pic_a,cook_pic_b,cook_pic_c,cook_pic_d,cook_test_answer,cook_pretest,dino_encoding_sentence,dino_test_question,dino_pic_a,dino_pic_b,dino_pic_c,dino_pic_d,dino_test_answer,dino_pretest,gems_encoding_sentence,gems_test_question,gems_pic_a,gems_pic_b,gems_pic_c,gems_pic_d,gems_test_answer,gems_pretest,arms_encoding_sentence,arms_test_question,arms_pic_a,arms_pic_b,arms_pic_c,arms_pic_d,arms_test_answer,arms_pretest,musi_encoding_sentence,musi_test_question,musi_pic_a,musi_pic_b,musi_pic_c,musi_pic_d,musi_test_answer,musi_pretest
11,2,,test,"Automatic transmissions use a special gear called a planetary gear to transmit different speeds from the engine to the wheels. A planetary gear allows multiple gear ratios with a single set of gears, making it a good fit for a car with several speeds (and one reverse). These gears are also found in many other appliances, including electric screwdrivers.",What kind of gear enables an automatic transmission to run at several speeds?,cars11a.jpeg,cars11b.png,cars27b.jpeg,cars27a.jpeg,planetary gear,FALSE,"A galantine is a classic French dish for preserving meat, dating from the 1700s. To make a galantine, a whole chicken is de-boned, and the meat ground and mixed with other meats and toppings like pistachio nuts, olives, and truffles, and formed into a symmetrical loaf. The loaf is then stuffed back into the chicken skin and cooked in stock. Once complete, the dish resembles a meat-wrapped pate, and can be kept at room temperature for several days.",What French chicken-wrapped meat loaf dish can be kept at room temperature for several days without spoiling?,cook11a.jpeg,cook11b.jpeg,cook2a.jpeg,cook2b.png,galantine,TRUE,"One unusual form of trace fossil is the coprolite, or fossilized fecal matter. While it is difficult to determine exactly what species of prehistoric animal might have excreted the coprolite, size and shape can be a helpful clue. For example, prehistoric (and modern) sharks have characteristic spiral-shaped intestines. Thus, spiral-shaped coprolites found near fossils of other aquatic creatures are likely to have come from ancient shark ancestors.",Spiral-shaped coprolites most likely came from what prehistoric creatures?,dino11a.jpeg,dino11b.jpeg,dino28b.png,dino28a.jpeg,sharks,FALSE,"Small gem-quality crystals usually grow gradually in igneous rocks as magma cools. However, not all igneous gems grow this way. Larger gems can grow on pegmatites, or igneous rocks formed near pockets of superheated water. Ions in these water pockets move around much more freely than in magma, allowing huge crystals to form. Pegmatites hold the largest crystals found in igneous rock, with some crystals recorded as weighing over one ton.","What type of igneous rock, formed near pockets of water in the earth's mantle, is known for yielding particularly large crystals?",gems11a.jpeg,gems11b.jpeg,gems1a.jpeg,gems1b.jpeg,pegmatite,TRUE,"Some members of an Ancient Egyptian sect worshipping the crocodile wore crocodile skin as ceremonial armor, as they believed soldiers could inherit a crocodile's strength by wearing it into battle. When Egypt was eventually conquered by the Roman Empire, some Roman soldiers stationed in Egypt joined this crocodile cult as they integrated into local customs.",Some Roman-era ancient Egyptians used the skin of which reptile as ceremonial armor?,arms11a.jpeg,arms11b.jpeg,arms37b.png,arms37a.png,crocodile,FALSE,"During the Baroque period lute varieties of many different sizes were made to occupy all parts of a chamber ensemble. One of these was the theorbo, a 14-stringed lute that could reach a total length of up to 180 cm/6 ft. The theorbo was distinct from other lutes in that it had re-entrant tuning, where the top two strings were tuned slightly lower than the third and fourth strings, instead of continuously ascending in pitch.","What 14-stringed Baroque relative of the lute, measuring up to 180 cm/6 ft long, had distinct re-entrant tuning?",musi11a.jpeg,musi11b.jpeg,musi2a.png,musi2b.jpeg,theorbo,TRUE
12,2,,test,"Vehicles need the engine and transmission to be able to spin independently, to shift gears or stop the wheels while the engine is running. In a manual vehicle, the clutch connects the engine and the transmission. A heavy flywheel, that is powered by the engine, is connected to the clutch plate, which turns with the transmission. When the clutch pedal is depressed, the clutch plate releases from the flywheel, letting the engine spin disconnected from the transmission.",What part connects the engine to the clutch plate in a manual transmission vehicle?,cars12a.jpeg,cars12b.jpeg,cars38b.jpeg,cars38a.jpeg,flywheel,TRUE,"Often found in cans and jars in Middle Eastern markets, harissa is a fiery-hot sauce made from roasted chiles, garlic, cumin, coriander, caraway, and olive oil. The sauce originated in Tunisia and is traditionally used to accompany a couscous, but it is also used to flavor soups, stews, and other dishes.",Harissa chili paste originated from what country?,cook12a.jpeg,cook12b.jpeg,cook23b.jpeg,cook23a.jpeg,Tunisia,FALSE,"Small, polished stones may sometimes be found in or near fossilized dinosaur rib cages. These stone trace fossils are believed to be preserved stomach stones, known as gastroliths. Like modern birds and reptiles, dinosaurs may have swallowed these stones to help grind up food in their digestive tracts.",What is the technical name for stones found in or near dinosaur stomachs?,dino12a.jpeg,dino12b.jpeg,dino17a.png,dino17b.png,gastrolith,FALSE,"Each variety of crystal typically has a predictable, characteristic external shape, called the crystal's habit, depending on the crystal's internal structure and external growing conditions. For example, the mineral rutile typically shows an acicular habit, with long, thin, needle-like crystals, usually embedded inside other minerals like quartz.",What needle-like crystal habit does rutile typically show?,gems12a.jpeg,gems12b.png,gems25b.png,gems25a.jpeg,acicular,FALSE,"Lamellar armor, which was popular across Eurasia from BCE through the Middle Ages, is made of small plates laced together with twine or cord to form flexible armor. Lamellar armor is often confused with similar-looking scale armor. Scale plates are laced to a cloth backing, producing a ""scaly"" garment. Meanwhile, lamellar plates are laced only to each other, producing armor that was often (but not necessarily) worn over cloth undergarments.","What type of armor, often confused with scale armor, is made of small plates laced to each other?",arms12a.jpeg,arms12b.jpeg,arms6a.jpeg,arms6b.jpeg,lamellar,FALSE,"The viola d'amore, or the ""viol of love"", was a Baroque stringed instrument played under the chin like a violin. The viola d'amore had 6 or 7 main strings, as well as several sympathetic strings, distinguishing it from the violin. Sympathetic strings, also found on many South Asian instruments, are not directly ""played"" but vibrate when nearby main strings are played, creating a silvery drone that accompanies the melody.",What violin-like Baroque bowed stringed instrument was notable for its sympathetic strings?,musi12a.png,musi12b.png,musi39b.jpeg,musi39a.png,viola d'amore,FALSE
13,2,,test,"Instead of a clutch, automatic transmission vehicles use a torque converter to connect the engine to the transmission. The engine and the transmission are not connected with gears, but instead with transmission fluid inside the torque converter. The fluid acts like a ""soft"" gear, which allows the engine to spin somewhat independently of the transmission.",What part replaces the clutch in an automatic transmission vehicle?,cars13a.jpeg,cars13b.jpeg,cars30b.jpeg,cars30a.jpeg,torque converter,TRUE,"An involtino is a rolled slice of meat, fish, or vegetable, commonly eggplant, cooked with filling inside. Involtini are the Italian cousin of the French roulade. Sicilian braciole, seared and braised rolls of sliced steak stuffed with filling, are one well-known variety of involtini.",What filling-wrapped roll of sliced meat or vegetable is the Italian version of a roulade?,cook13a.jpeg,cook13b.png,cook10a.jpeg,cook10b.jpeg,involtino,TRUE,"Two early American paleontologists, Othniel Charles Marsh and Edward Drinker Cope, fought for scientific glory in the late 1800s. Their rivalry, often referred to as the ""Bone Wars"", ranged from racing to publish research papers first to sending spies to sabotage each other's digs. Eventually, though they both made major contributions to science, both men were nearly bankrupt from years of fighting.",Othniel Charles Marsh and Edward Drinker Cope's 19th-century fossil discovery rivalry is commonly known by what nickname?,dino13a.jpeg,dino13b.jpeg,dino23b.png,dino23a.png,Bone Wars,FALSE,"Stones like hematite and malachite often show a botryoidal habit, named for the Greek for ""bunch of grapes"". This habit occurs when tiny crystals grow in spherical masses around some irregular shape, like a rough rock surface. As these bubble-like crystals grow and intersect with one another, they start to resemble their namesake fruit.",The botryoidal crystal habit shown by stones like hematite is named for its resemblance to what fruit?,gems13a.png,gems13b.jpeg,gems32b.jpeg,gems32a.png,grapes,TRUE,"Aztec warriors wielded the macuahuitl, a flat wooden club edged with obsidian blades that could be used like a sword for slashing. While the Spanish described the macuahuitl as a broadsword, it came in many sizes, from smaller clubs with blades along only one edge, to huge two-handed versions more like a polearm than a sword.",What material was used as the blade on an Aztec macuahuitl?,arms13a.png,arms13b.png,arms34b.png,arms34a.png,obsidian,FALSE,"A hurdy-gurdy is a box-shaped Baroque French folk instrument played by turning a wheel that rubs under a set of strings, making a droning sound similar to playing strings with a bow. Like an accordion, notes are sounded on the hurdy-gurdy by pressing keys on a keyboard attached to the strings. A hurdy-gurdy could have over 80 moving parts, making it quite a formidable instrument to use and maintain.",What French folk instrument sounds by turning a wheel to rub a set of strings somewhat like a bow?,musi13a.png,musi13b.png,musi21b.jpeg,musi21a.png,hurdy-gurdy,TRUE
14,2,,test,"Torque converters are made of 4 main parts: a pump, a turbine, a stator, and transmission fluid. As the engine spins, the converter pump spins with it, making the transmission fluid spin inside the converter as well. The fluid then pushes the turbine to spin, driving the transmission. The stator redirects the transmission fluid out of the turbine back up to the pump to continue circulating.","Torque converters are made up of a pump, turbine, transmission fluid, and what other part?",cars14a.jpeg,cars14b.jpeg,cars24b.png,cars24a.jpeg,stator,FALSE,"Chopped parsley forms the base for several sauces used to garnish dishes. French persillade, from the word ""persil"" for parsley, is a mixture of chopped parsley, garlic, oil, and vinegar, while chimichurri from Argentina and Uruguay features red peppers and oregano over the same parsley base.","What French sauce is made of chopped parsley, garlic, oil, and vinegar?",cook14a.jpeg,cook14b.jpeg,cook4a.jpeg,cook4b.jpeg,persillade,FALSE,"Biological naming guidelines state that the oldest proposed name of an organism has priority over later ones. In 1877, Marsh coined the name Apatosaurus for a set of gigantic hip and backbones found in Colorado. Two years later, in Wyoming, Marsh named a nearly complete skeleton Brontosaurus. Yet, later comparisons revealed that both sets of bones belonged to the same species, making Apatosaurus the name for both.","Based on guidelines for animal nomeclature, what is the scientifically correct name for the Brontosaurus?",dino14a.png,dino14b.png,dino1a.jpeg,dino1b.jpeg,Apatosaurus,FALSE,"Stones with the same chemical composition often have different names for different color variations. For example, emerald is a particular green variety of the gemstone beryl, or beryllium aluminum silicate. Beryl in other colors may be classified as bluish-green aquamarine, golden heliodor, or pale pink morganite, the latter of which was named for banker and gem enthusiast J.P. Morgan.","Emerald, aquamarine, helidor, and morganite are all different colored varieties of what gemstone?",gems14a.jpeg,gems14b.png,gems12a.jpeg,gems12b.png,beryl,FALSE,"During the 1400s and early 1500s, the Inca empire ruled over much of the Andes highlands, stretching from modern-day Bolivia into northern Chile. While a good deal of this land was incorporated into the empire through peaceful agreements, military conquest was key to Inca expansion. Along with bows, arrows, and hand weapons, many Inca infantry soldiers wielded the huaraca, a sling used to hurl stones at opposing armies.",What war sling was used by Inca soldiers to attack their foes with stone projectiles?,arms14a.png,arms14b.png,arms32b.png,arms32a.png,huaraca,FALSE,"The viola da gamba, or simply the viol in English, is a family of large Renaissance instruments strung like lutes, but played with a bow between the legs like cellos. ""da gamba"" is Italian for ""on the leg"", in contrast to a ""viola da braccio"", or a modern violin played on the arm. Beyond the differences in body shape and stringing between the viola da gamba and the cello, the viola da gamba has frets on the neck, unlike a cello and more like a modern guitar.","What Renaissance cello-like instrument is distinguished from the cello by, among other things, a fretted neck?",musi14a.png,musi14b.png,musi22b.jpg,musi22a.jpg,viola da gamba,FALSE
15,2,,test,"Since the speed of the torque converter and the engine do not exactly match in automatic transmission vehicles, some power is wasted. This partially explains why automatic cars get worse gas mileage than manual cars. To reduce this waste, some cars have a torque converter with a lockup clutch. Once the two halves of the torque converter are up to speed, they are locked in place to prevent slippage that leads to differences in speed.",What part can be added to torque converters to reduce wasted power between an automatic transmission and the engine?,cars15a.jpeg,cars15b.jpeg,cars34b.jpeg,cars34a.jpeg,lockup clutch,FALSE,"Of the five ""mother"" sauces of French cooking, four sauces start with a roux, where flour is cooked in butter to form a thick sauce base. One of these mother sauces, veloute, is made by adding white stock, usually chicken, to this flour and butter roux. The starter roux should be ""white"", where the butter is cooked gently so as not to brown and darken the final sauce.",Which French mother sauce is made from chicken stock thickened with a white roux?,cook15a.jpeg,cook15b.jpeg,cook35b.jpeg,cook35a.jpeg,veloute,FALSE,"Megalosaurus, or ""great lizard,"" was the first dinosaur to be given a species name from fossils in 1824. Dinosaurs soon became a fixture of English pop culture, and Charles Dickens even name-dropped Megalosaurus in his book ""Bleak House."" However, the early paleontologists were eager to reconstruct creatures from questionable specimens, and many fossils previously attributed to Megalosaurus have since been re-assigned to other species.","Which early-discovered dinosaur did Charles Dickens mention in his book ""Bleak House""?",dino15a.jpeg,dino15b.png,dino37b.jpeg,dino37a.jpeg,Megalosaurus,TRUE,"Chemically identical stones may also go by different names based on their crystal structures. For example, quartz is silicon dioxide in its large crystalline form. The same material is called chalcedony when found in a microcrystalline form, which looks like rock to the naked eye but is composed of many microscopic individual crystals. Striped agate found in geodes is one particularly attractive variety of chalcedony.",What microcrystalline precious stone has the same chemical composition as quartz?,gems15a.jpeg,gems15b.jpeg,gems39b.jpeg,gems39a.jpeg,chalcedony,TRUE,"Aboriginal peoples of Australia used boomerangs, both L-shaped returning and one-way varieties, primarily for hunting. They also had war-specific boomerangs, called wonna, but these were not considered lethal weapons until recently. In 2016, a skeleton dating from the 1200s was found with evidence of deadly boomerang injuries, suggesting that wonna could indeed deal mortal damage in battle.",What term describes Aboriginal boomerangs designed for battle rather than hunting?,arms15a.jpeg,arms15b.png,arms25b.jpeg,arms25a.png,wonna,TRUE,"During the Baroque period in Europe, dance teachers would travel to aristocratic homes to give lessons, bring instruments with them to accompany their dance students. One such was a small, narrow fiddle called a pochette, named because it was small enough to fit in one's pocket. On account of its size, the pochette could not be held under the chin like a violin, and was instead usually pressed into the chest.","What tiny, narrow fiddle was brought along by Baroque dance teachers to accompany dance lessons?",musi15a.png,musi15b.png,musi8a.png,musi8b.png,pochette,FALSE
16,2,,test,"The catalytic converter, in the exhaust system, helps to convert dangerous gases in car exhaust into less dangerous compounds. Modern cars have three-way catalytic converters, that reduce three dangerous gases: carbon monoxide, hydrocarbons, and nitrogen oxides.","Catalytic converters neutralize harmful gases in car exhaust like hydrocarbons, nitrogen oxides, and what other gas?",cars16a.jpeg,cars16b.jpeg,cars22b.jpg,cars22a.jpg,carbon monoxide,TRUE,"Xylitol is a white, crystalline sweetener that occurs naturally in fruits and vegetables, though it is often commercially extracted from wood. It was discovered in the late 19th century as a low glycemic sweetener that has roughly 40% fewer calories than sucrose, or table sugar, and a slight cooling effect on the tongue.",What low-calorie sweetener can be extracted from wood?,cook16a.jpeg,cook16b.png,cook28b.jpeg,cook28a.jpeg,xylitol,FALSE,"The first herbivorous dinosaur to be identified from fossils, the Iguanodon got its name in 1822 when a museum curator recognized the similarity between its teeth and those of the modern iguana. However, Gideon Martell, who discovered the first fossil with his wife, Mary Ann, mistakenly reconstructed one of the animal's thumbs as a horn on the snout. The mistake persisted in illustrations of Iguanodon for decades until more complete Iguanodon skeletons were discovered in a Belgian mine in 1878.","When reconstructing the iguanodon, Gideon Martell mistakenly placed the thumb as a horn where on the body?",dino16a.png,dino16b.png,dino8a.jpeg,dino8b.jpeg,snout,FALSE,"Gemstones can also be classified based on how they get their color. Allochromatic gems get their color from trace impurities of other elements that are not part of the gem's essential crystal structure. For example, ruby and sapphire are both varieties of the same crystal, corundum, but with different trace elements giving ruby its red color and sapphire its blue color.",Ruby and sapphire are different-colored varieties of what crystal?,gems16a.jpeg,gems16b.jpeg,gems37b.png,gems37a.jpeg,corundum,FALSE,"The raw materials of a culture's tools and weaponry are generally limited to those readily available in their area. However, people can design effective arms and armor from whatever they have on hand. For example, into the 19th century, the people of modern-day Kiribati, an archipelago in the central Pacific, wove full suits of armor out of fiber extracted from coconut shells.",The people of what modern-day Pacific island country were known for their coconut fiber armor?,arms16a.png,arms16b.png,arms26b.png,arms26a.png,Kiribati,FALSE,"Today, the four-piece string quartet is the most common performance grouping of different-sized instruments of the same type. In the Renaissance, many instruments, like violas da gamba and recorders, were made in sets of different sizes, called consorts, to be played together. Before larger symphonic pieces in the Baroque era and later, most European music was written for these consorts to feature the coordinated sound of a single instrument type.",A Renaissance-era set of one instrument made in different sizes is known by what name?,musi16a.png,musi16b.jpeg,musi25b.png,musi25a.png,consort,FALSE
17,2,,test,"Catalytic converters are so named because they contain catalysts that speed up the chemical reaction that turns dangerous exhaust gases into different, less dangerous gases. Modern cars often use a very thin layer of platinum metal as this catalyst.",What metal serves as the catalyst inside of an automotive catalytic converter?,cars17a.jpeg,cars17b.png,cars32b.jpeg,cars32a.jpeg,platinum,FALSE,"Coming from the French word for casserole, a cocotte refers to a heavy round or oval pot with a tight fitting lid. Historically, cocottes were made of earthenware, but the modern cocotte may be made with cast iron, making it essentially the same as a Dutch oven. Adding to the confusion, cocottes are sometimes marketed as ""French ovens,"" to draw a closer parallel with the better-known Dutch oven.","What heavy, tight-lidded pot is the French cousin of the Dutch oven?",cook17a.jpeg,cook17b.jpeg,cook24b.jpeg,cook24a.jpeg,cocotte,FALSE,"Many dinosaurs are named after the place where they were found, or the people who discovered them. One unusual name belongs to Irritator, a Cretaceous relative of Spinosaurus. Its skull was excavated by fossil poachers in Brazil, and was named for paleontologists' frustration with the poor condition of the fossil, which had been doctored by the poachers.",The comically-named dinosaur Irritator is a relative of what better-known species?,dino17a.png,dino17b.png,dino19a.jpeg,dino19b.png,Spinosaurus,FALSE,"Meanwhile, idiochromatic gems get their color from elements that are part of the gem's essential crystal structure. These stones typically only show a narrow range of colors. For example, malachite, or copper carbonate hydroxide, gets its green color from copper in its crystal structure.",Malachite's green color comes from what element in its crystal structure?,gems17a.png,gems17b.jpeg,gems26b.jpeg,gems26a.jpeg,copper,FALSE,"The kinikini, a tall paddle-ended club, was historically wielded by Fijian priests and chiefs. The kinikini would be formidable in battle, used either as a shield or as a polearm with the paddle edge used for chopping. However, its exquisite craftsmanship and position as a weapon of priests means that the kinikini most likely rarely saw battle, and was instead used primarily in ceremony.",What tall paddle-shaped club was wielded by priests and chiefs in Fiji?,arms17a.jpeg,arms17b.jpeg,arms39b.png,arms39a.png,kinikini,FALSE,"The hardingfele, or Hardanger fiddle, named for the region of Norway where it was developed, is considered Norway's national folk instrument. The hardingfele has no ""standard"" tuning for its main strings, but may instead be tuned differently for various pieces of music. One of these patterns, A-E-A-C#, is called the ""troll"" tuning pattern, which legend holds will imbue the instrument's sound with magical powers.",What string tuning pattern is legendarily believed to imbue the Norwegian hardingfele with magical powers?,musi17a.png,musi17b.png,musi5a.png,musi5b.png,troll tuning,TRUE
18,2,,test,"A muffler is attached to a car's exhaust pipe. It ""muffles"" noise from the engine using a metal chamber called a resonator. The resonator is made at a specific length, to reflect sound waves from the engine back on themselves. This creates destructive inteference, reducing the sound's volume, in a similar manner to noise-cancelling headphones.",What auto part uses a resonator to minimize engine noise?,cars18a.jpeg,cars18b.jpeg,cars5a.png,cars5b.jpeg,muffler,FALSE,"Fats used for cooking may be liquid at room temperature, like many plant oils, or solid, like animal fats. Ghee is a solid cooking fat common in South Asian cooking, derived by cooking butter over low heat until the water boils off and milk solids caramelize slightly. The butter is then clarified by straining out solids, and stored in jars.",What clarified butter is used in South Asian cooking?,cook18a.jpeg,cook18b.jpeg,cook33b.jpeg,cook33a.jpeg,ghee,FALSE,"Many dinosaurs are named with Greek or Latin root words. However, some dinosaur names break from this pattern. One example is the Nqwebasurus, an ostrich-like therapod from South Africa, whose name was taken from the local Xhosa name of the region where it was excavated.",The Nqwebasurus takes its name from which South African language?,dino18a.png,dino18b.png,dino10a.jpeg,dino10b.jpeg,Xhosa,FALSE,"Pleochroic gems may be either allochromatic or idiochromatic, but these gems are special in that they appear different colors from different viewing angles. Gemstones with less symmetrical crystal systems are more likely to be pleochroic, because their asymmetrical crystal structures absorb different wavelengths of light along their different axes, producing different visible colors.",What term describes gemstones that appear different colors from different angles?,gems18a.jpeg,gems18b.jpeg,gems6a.jpeg,gems6b.png,pleochroic,FALSE,"Weapon design often evolves as tools from different cultures enter an ecosystem. The nifo'oti, a ceremonial weapon of Samoa, is a club with a hooked head and carved wooden teeth along one side. While the nifo'oti has its origins before European contact, its hooked head derives from the steel billhook, a machete-like wood-clearing knife brought in by Europeans.",What Samoan ceremonial club shares design elements with the European billhook knife?,arms18a.png,arms18b.png,arms27b.jpeg,arms27a.jpeg,nifo'oti,FALSE,"The shamisen is a three-stringed Japanese banjo-like instrument, developed in the 16th century from a Chinese ancestor instrument.  The shamisen is played with a bachi, a large plectrum with a flared end somewhat resembling a ginkgo leaf. The characteristic ""slapping"" sound of a shamisen strum comes from the bachi hitting the strings.","What large, ginkgo-leaf-shaped plectrum is traditionally used to strum the Japanese shamisen?",musi18a.jpeg,musi18b.png,musi32b.png,musi32a.jpeg,bachi,FALSE
19,2,,test,"Turn signals in cars don't need computers to flash their lights. They use a component called a thermal flasher, which has two pieces of steel that change shape when heated or cooled. Together, these pieces switch the current to the turn signals on and off periodically.",A thermal flasher is the key component in what vehicle system?,cars19a.jpeg,cars19b.jpeg,cars36b.png,cars36a.png,"turn signal, blinkers",FALSE,"Also known as a crescent cutter, the mezzaluna is a curved blade used to mince or chop food. The blade is typically made of steel with a vertical wooden handle on each end. Chopping is accomplished by rocking the blade from side to side on a cutting board. A smaller mezzaluna can be used to mince herbs, while a very large one might be used to slice pizza.",What crescent-shaped blade can be used to mince or chop food?,cook19a.jpeg,cook19b.jpeg,cook31b.jpeg,cook31a.jpeg,mezzaluna,FALSE,"The holes behind the eye orbits commonly visible in dinosaur skulls provide attachment points for larger, stronger jaw muscles. Most ancient reptiles, and their modern-day reptile and bird descendants, are diapsids, with ""two arches"", or holes, in the skull. Meanwhile, reptilian ancestors of mammals were synapsids, with ""one arch"" in the skull.","What ""two arched"" skull classification describes dinosaurs and most modern reptiles and birds?",dino19a.jpeg,dino19b.png,dino4a.jpeg,dino4b.jpeg,diapsid,FALSE,"Most pleochroic stones are very weakly pleochroic, and color changes cannot be seen with the naked eye. For these stones, a dichroscope can be used to see the different colors. The dichroscope is a short tube with a window at one end, a piece of calcite in the middle, and an eyepiece at the other. Light shone through the back gem enters through the window and passes through the calcite, which creates a double image, showing two slightly different colors next to each other.",What piece of equipment can be used to see the different colors of weakly pleochroic stones?,gems19a.jpeg,gems19b.jpeg,gems19a.jpeg,gems19b.jpeg,dichroscope,FALSE,"The bagh-nakh, or ""tiger's claw"", was first used in the Maratha Empire, occupying much of modern-day India, in the late 1600s. The weapon inflicts cuts resembling those made by a tiger's claws, giving the weapon its name. Because of this design, its main use was by bandits in assassinations, to divert suspicion away from the real killers.",The bagh-nakh was designed to cause wounds resembling those made by which animal?,arms19a.jpeg,arms19b.png,arms35b.jpeg,arms35a.png,tiger,TRUE,"The modern banjo was developed in the Americas by enslaved west African people. Today, most banjo players use a guitar-like three finger picking style popularized in the 1940s by pioneering bluegrass musician Earl Scruggs. However, some use the older ""clawhammer"" style, traditionally used with west African string instruments. In clawhammer style, the four fingers are held like a claw and strum down together, and the thumb picks on the off-beats.",What banjo strumming technique was originally developed on precursor instruments in west Africa?,musi19a.jpeg,musi19b.png,musi20a.jpeg,musi20b.png,clawhammer,FALSE
20,2,,test,"Air bags are not inflated by releasing a container of compressed gas, but instead by a chemical reaction. Solid sodium azide (NaN3) and potassium nitrate (KNO3) are combined to produce nitrogen gas, which fills up the air bag.",Air bags are inflated by a chemical reaction producing what gas?,cars20a.jpeg,cars20b.jpeg,cars12a.jpeg,cars12b.jpeg,nitrogen,FALSE,"The girolle is a tool for shaving slices of cheese. A downward facing blade and handle are mounted on a central rod, which is inserted into the center of a wheel of cheese. As the handle is turned, the cheese is shaved into rosettes. The girolle was invented for serving a Swiss cheese called Tete de Moine, or ""monk's head,"" which may get its name from the ""haircut""-like coloring of white cheese and dark rind when cheese is shaved in rounds off the top.",What is the name of the tool that shaves cheese into thin rosettes?,cook20a.jpeg,cook20b.jpeg,cook9a.jpeg,cook9b.jpeg,girolle,FALSE,"Many reptiles roamed the earth well before the Mesozoic Era, before dinosaurs proper had evolved. One of these was Dimetrodon, which walked on all fours low to the ground, but sported a tall sail made of spines on its vertebrae. While often depicted alongside Mesozoic dinosaurs in popular culture, Dimetrodon and its synapsid relatives lived in the Permian period, well before the Triassic.",What Permian reptile with a prominent spine sail is often incorrectly shown living at the same time as dinosaurs?,dino20a.png,dino20b.png,dino12a.jpeg,dino12b.jpeg,Dimetrodon,FALSE,"Pleochroism can only occur in gems with asymmetric crystal structure. Gems with a cubic crystal system, which is totally symmetrical, cannot be pleochroic. This can differentiate gems of the same color but with different crystal structures. For example, ruby and spinel have historically been set interchangeably in jewelry because they are the same shade of red. With a dichroscope, ruby, which is slightly pleochroic, can be distinguished from spinel, which shows one color from all angles.",The presence of pleochroism distinguishes ruby from what similarly-colored gem?,gems20a.jpeg,gems20b.jpeg,gems13a.png,gems13b.jpeg,spinel,FALSE,"Landsknecht were fearsome German pike-wielding mercenaries fighting battles for hire in the early 1500s. Because they were exempt from sumptuary laws that required people to dress according to social class, the Landsknecht often wore very showy clothing in bright colors. Serving not only in Germany, they were hired by clients as far away as the Grand Duke of Florence in modern-day Italy.","Which Renaissance-era German mercenaries were known for their showy, brightly colored clothing?",arms20a.png,arms20b.png,arms30b.png,arms30a.png,Landsknecht,FALSE,"While its exact origin is unclear, the modern kazoo appeared in the United States in the late 1800s. The kazoo likely descended from a similar African instrument made of eggshell membrane stretched across the end of a cow's horn. These instruments are members of the mirliton family, which comprises all instruments emitting a ""buzzy"" sound from an air-vibrated membrane.",The kazoo is the best-known member of what family of instruments with air-vibrated membranes?,musi20a.jpeg,musi20b.png,musi27b.jpg,musi27a.png,mirliton,FALSE
21,3,,test,"Historically, vehicle air bags released a powdery substance when they were inflated. This substance was typically a coating of talcum powder that prevented the bag from sticking to itself before it was inflated. Modern air bags are treated with silicone so that they no longer require powder lubrication to inflate.",What powdery material was used to lubricate the fabric of older vehicle airbags?,cars21a.jpeg,cars21b.jpeg,cars11a.jpeg,cars11b.png,talcum powder,FALSE,"Pith is the term referring to the white, spongy layer that separates the peel and flesh of a citrus fruit. Citrus pith is often claimed to be so bitter that accidentally including it may ruin a dish. While grapefruit pith is indeed quite bitter, orange pith is typically tasteless.",What is the the white layer between the flesh and peel of a citrus fruit?,cook21a.jpeg,cook21b.jpeg,cook3a.jpeg,cook3b.png,pith,FALSE,"It is usually very difficult to tell the sex of a dinosaur from its fossil. Even if a fossil is found right next to a clutch of fossilized eggs, that doesn't guarantee its sex, as male dinosaurs might also have tended their broods. However, paleontologists can sometimes identify pregnant female dinosaurs from a special layer in their bones, called the medullary bone, still found in pregnant birds. Medullary bone provided the extra calcium mother dinosaurs needed to form eggshells for their offspring.",What layer of bone distinguishes pregnant female dinosaurs from other dinosaurs?,dino21a.png,dino21b.jpeg,dino27b.png,dino27a.png,medullary bone,FALSE,"Occasionally, gemstones have whole zones of different colors within them, appearing striped. For example, the gem tourmaline is often found with striped zones of color, and is typically cut along a particular axis to show off the coloration. Watermelon tourmaline, with neighboring pink and green zones, is one attractive striped variety of tourmaline.","What gemstone commonly exhibits multicolor striping, including a pink and green ""watermelon"" pattern?",gems21a.png,gems21b.jpeg,gems22b.jpeg,gems22a.jpeg,tourmaline,FALSE,"The spur, worn on the heel of a rider's boot to encourage their horse, is composed of a shank, spur-neck, and the prick or rowel. First thought to have been used by Celts as early as the 500s BCE, the ancient spur most often sported a prick, or a single conical point attached to the shank. The now-characteristic wheel, called the rowel, did not appear on spurs until the late 13th century.","A spur is composed of the shank, spur-neck, and which other wheel-shaped part?",arms21a.jpeg,arms21b.jpeg,arms23b.jpeg,arms23a.png,rowel,FALSE,"The sistrum was an ancient Egyptian bronze rattle, with disks strung on rods going across the frame of the rattle. Sistra were often played to worship the goddess Hathor, an Egyptian goddess of music. Clay sistra have been found in tombs, but those likely did not sound as loudly as bronze sistra, indicating that the clay instruments were probably funerary replicas not used for performance.",What rattle was played to worship the ancient Egyptian goddess Hathor?,musi21a.png,musi21b.jpeg,musi11a.jpeg,musi11b.jpeg,sistrum,FALSE
